region,precision,recall,f1-score,support
abdomen,0.5460829493087558,0.28797083839611176,0.37708830548926014,823.0
bone,0.0,0.0,0.0,106.0
breast,0.17391304347826086,0.21052631578947367,0.1904761904761905,19.0
heart,0.31986531986531985,0.13494318181818182,0.1898101898101898,704.0
esophagus,0.2222222222222222,0.021164021164021163,0.03864734299516908,189.0
lung,0.39267015706806285,0.1263051532502526,0.191131498470948,2969.0
mediastinum,0.5570175438596491,0.2419047619047619,0.3373173970783532,1050.0
pleura,0.3333333333333333,0.06933744221879815,0.11479591836734691,649.0
thyroid,0.125,0.04,0.06060606060606061,25.0
trachea and bronchie,0.0,0.0,0.0,152.0
