Label,Precision,Recall,F1 Score,Support
Medical material,0.07692307692307693,0.15,0.1016949152542373,140
Arterial wall calcification,0.6510638297872341,0.3704600484261501,0.4722222222222222,413
Cardiomegaly,0.37333333333333335,0.1728395061728395,0.2362869198312236,162
Pericardial effusion,0.1,0.009523809523809525,0.01739130434782609,105
Coronary artery wall calcification,0.5139442231075697,0.3664772727272727,0.4278606965174129,352
Hiatal hernia,0.21739130434782608,0.025380710659898477,0.045454545454545456,197
Lymphadenopathy,0.3541666666666667,0.05014749262536873,0.08785529715762275,339
Emphysema,0.37735849056603776,0.13245033112582782,0.19607843137254904,302
Atelectasis,0.37735849056603776,0.2808988764044944,0.322061191626409,356
Lung nodule,0.459954233409611,0.29515418502202645,0.35957066189624337,681
Lung opacity,0.7396449704142012,0.2066115702479339,0.32299741602067183,605
Pulmonary fibrotic sequela,0.26744186046511625,0.056790123456790124,0.09368635437881874,405
Pleural effusion,0.6363636363636364,0.17073170731707318,0.2692307692307692,164
Mosaic attenuation pattern,0.26,0.104,0.14857142857142858,125
Peribronchial thickening,0.3333333333333333,0.024844720496894408,0.046242774566473986,161
Consolidation,0.4791666666666667,0.08363636363636363,0.14241486068111453,275
Bronchiectasis,0.0,0.0,0.0,160
Interlobular septal thickening,0.16666666666666666,0.017094017094017096,0.0310077519379845,117
Weighted Average,0.42569016854294184,0.18047044870527773,0.2379462239183572,5059
