region,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,CIDEr,Overall_BLEU-1,Overall_BLEU-2,Overall_BLEU-3,Overall_BLEU-4,Overall_METEOR,Overall_ROUGE-1,Overall_ROUGE-2,Overall_ROUGE-L
abdomen,0.3950±0.2598,0.3183±0.2805,0.2776±0.2907,0.2513±0.2959,0.4333±0.2678,0.4662±0.2472,0.3156±0.2980,0.3852±0.2670,1.1175±2.7251,0.4322,0.3481,0.3023,0.2721,0.4333,0.4660,0.3150,0.3850
bone,0.4105±0.2980,0.3388±0.3243,0.3033±0.3362,0.2849±0.3414,0.4715±0.2944,0.4697±0.2811,0.3361±0.3328,0.4213±0.3022,1.8766±3.6990,0.4340,0.3413,0.2895,0.2587,0.4715,0.4692,0.3362,0.4214
breast,0.2246±0.2299,0.1699±0.2094,0.1462±0.1965,0.1363±0.1931,0.2314±0.2283,0.2458±0.2330,0.1169±0.2114,0.2196±0.2206,0.5034±1.8700,0.2073,0.1325,0.0951,0.0720,0.2314,0.2440,0.1132,0.2175
heart,0.3985±0.2680,0.3268±0.2902,0.2937±0.2990,0.2744±0.3022,0.4475±0.2826,0.4867±0.2677,0.3254±0.3200,0.4319±0.2821,1.5215±3.1593,0.4205,0.3384,0.2959,0.2679,0.4475,0.4864,0.3253,0.4316
esophagus,0.5958±0.3189,0.5096±0.3645,0.4734±0.3731,0.4516±0.3709,0.5639±0.3490,0.6117±0.3144,0.4439±0.4022,0.5749±0.3422,2.8525±3.6724,0.5767,0.4919,0.4494,0.4211,0.5639,0.6114,0.4443,0.5759
lung,0.2722±0.2122,0.2142±0.2020,0.1790±0.1970,0.1551±0.1933,0.3174±0.2151,0.3761±0.1854,0.2238±0.1961,0.3082±0.1824,0.4315±1.7583,0.2208,0.1660,0.1324,0.1096,0.3174,0.3759,0.2237,0.3080
mediastinum,0.3765±0.1838,0.2817±0.2043,0.2324±0.2138,0.2009±0.2176,0.4198±0.2233,0.4304±0.1847,0.2459±0.2371,0.3368±0.1969,0.5465±1.7252,0.4379,0.3283,0.2683,0.2295,0.4198,0.4307,0.2459,0.3366
pleura,0.3720±0.3315,0.3156±0.3227,0.2837±0.3190,0.2691±0.3161,0.3884±0.3252,0.4922±0.3313,0.2652±0.3391,0.4721±0.3262,1.5711±3.2407,0.1431,0.1052,0.0832,0.0694,0.3884,0.4914,0.2657,0.4720
thyroid,0.2183±0.1632,0.1454±0.1236,0.1171±0.1053,0.1064±0.0960,0.1949±0.1591,0.2299±0.1896,0.0970±0.1561,0.1947±0.1751,0.2281±0.7258,0.2104,0.1138,0.0743,0.0578,0.1949,0.2280,0.0970,0.1946
trachea and bronchie,0.4842±0.3178,0.4408±0.3245,0.4121±0.3294,0.3893±0.3332,0.6147±0.2798,0.6036±0.2523,0.4769±0.3005,0.5618±0.2518,2.1714±3.7412,0.5447,0.4765,0.4291,0.3895,0.6147,0.6039,0.4766,0.5618
